Time: 10/02/2014 00:07:06
Tick:76,  Total waiting time : 222,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:77,  Total waiting time : 227,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:78,  Total waiting time : 232,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:79,  Total waiting time : 237,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:80,  Total waiting time : 242,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:81,  Total waiting time : 247,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:82,  Total waiting time : 252,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:83,  Total waiting time : 256,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:84,  Total waiting time : 225,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:85,  Total waiting time : 229,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:86,  Total waiting time : 233,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:87,  Total waiting time : 237,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:88,  Total waiting time : 241,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:89,  Total waiting time : 245,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:90,  Total waiting time : 249,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:91,  Total waiting time : 253,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:92,  Total waiting time : 257,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:93,  Total waiting time : 261,   Total # of processes: 21,  ASPAverage Waiting Time: 7.6875,              Finished P.: 16,   total respond time: 477,  Average response time: 29.8125,     Max length readylist: 9
Tick:94,  Total waiting time : 264,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:95,  Total waiting time : 188,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:96,  Total waiting time : 191,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:97,  Total waiting time : 194,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:98,  Total waiting time : 197,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:99,  Total waiting time : 200,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:100, Total waiting time : 203,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:101, Total waiting time : 206,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:102, Total waiting time : 209,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
